,Name,StandardSmiles
60,Dihomo-gamma-linolenic acid,CCCCC/C=C\C/C=C\C/C=C\CCCCCCC(=O)O
61,Citrulline,NC(=O)NCCCC(N)C(=O)O
62,Threonine,CC(O)C(N)C(=O)O
64,Folic acid,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc3)cnc2[nH]1
65,Icosapent,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)O
66,Alanine,CC(N)C(=O)O
67,Valine,CC(C)C(N)C(=O)O
68,Vitamin A,CC1=C(/C=C/C(C)=C/C=C/C(C)=C/CO)C(C)(C)CCC1
69,Vitamin E,Cc1c(C)c2c(c(C)c1O)CC[C@@](C)(CCC[C@H](C)CCC[C@H](C)CCCC(C)C)O2
70,Pyridoxine,Cc1ncc(CO)c(CO)c1O
71,Lipoic acid,O=C(O)CCCCC1CCSS1
72,Isoleucine,CCC(C)C(N)C(=O)O
73,Aspartame,COC(=O)C(Cc1ccccc1)NC(=O)C(N)CC(=O)O
74,Cholecalciferol,C=C1CC[C@H](O)C/C1=C\C=C1/CCC[C@]2(C)[C@@H]([C@H](C)CCCC(C)C)CC[C@@H]12
77,Proline,O=C(O)C1CCCN1
78,Adenine,Nc1ncnc2[nH]cnc12
79,Asparagine,NC(=O)CC(N)C(=O)O
80,Pravastatin,CCC(C)C(=O)O[C@H]1C[C@H](O)C=C2C=C[C@H](C)[C@H](CC[C@@H](O)C[C@@H](O)CC(=O)O)[C@H]21
81,Fluvoxamine,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1
82,Valsartan,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)C(C(=O)O)C(C)C
83,Ramipril,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1C(C(=O)O)C[C@@H]2CCC[C@@H]21
85,Flunisolide,CC1(C)O[C@@H]2CC3[C@@H]4C[C@H](F)C5=CC(=O)C=CC5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@]2(C(=O)CO)O1
86,Baclofen,NCC(CC(=O)O)c1ccc(Cl)cc1
87,Amphetamine,CC(N)Cc1ccccc1
89,Nicotine,CN1CCCC1c1cccnc1
90,Cevimeline,C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1
91,Lorazepam,O=C1N=C(c2ccccc2Cl)c2cc(Cl)ccc2NC1O
92,Esmolol,COC(=O)CCc1ccc(OCC(O)CNC(C)C)cc1
93,Bortezomib,CC(C)C[C@@H](NC(=O)C(Cc1ccccc1)NC(=O)c1cnccn1)B(O)O
94,Ethchlorvynol,C#CC(O)(/C=C/Cl)CC
96,Phentermine,CC(C)(N)Cc1ccccc1
97,Indecainide,CC(C)NCCCC1(C(N)=O)c2ccccc2-c2ccccc21
98,Tramadol,COc1cccc([C@@]2(O)CCCC[C@@H]2CN(C)C)c1
99,Vidarabine,Nc1ncnc2c1ncn2C1OC(CO)C(O)C1O
100,Betaxolol,CC(C)NCC(O)COc1ccc(CCOCC2CC2)cc1
101,Fluconazole,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F
102,Troglitazone,Cc1c(C)c2c(c(C)c1O)CCC(C)(COc1ccc(Cc3sc(=O)[nH]c3O)cc1)O2
103,Oseltamivir,CCOC(=O)C1=C[C@@H](OC(CC)CC)[C@H](NC(C)=O)[C@@H](N)C1
106,Caffeine,Cn1c(=O)c2c(ncn2C)n(C)c1=O
107,Succinylcholine,C[N+](C)(C)CCOC(=O)CCC(=O)OCC[N+](C)(C)C
108,Sildenafil,CCCc1nn(C)c2c(=O)[nH]c(-c3cc(S(=O)(=O)N4CCN(C)CC4)ccc3OCC)nc12
109,Dofetilide,CN(CCOc1ccc(NS(C)(=O)=O)cc1)CCc1ccc(NS(C)(=O)=O)cc1
110,Pyrimethamine,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1
111,Reserpine,COC(=O)C1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC
113,Ticlopidine,Clc1ccccc1CN1CCc2sccc2C1
114,Trospium,O=C(O[C@H]1C[C@H]2CC[C@@H](C1)[N+]21CCCC1)C(O)(c1ccccc1)c1ccccc1
115,Adapalene,COc1ccc(-c2ccc3cc(C(=O)O)ccc3c2)cc1C12CC3CC(CC(C3)C1)C2
116,Midodrine,COc1ccc(OC)c(C(O)CNC(=O)CN)c1
117,Remikiren,CC(C)(C)S(=O)(=O)CC(Cc1ccccc1)C(=O)NC(Cc1c[nH]cn1)C(=O)N[C@H](CC1CCCCC1)[C@H](O)[C@H](O)C1CC1
118,Pantoprazole,COc1ccnc(C[S+]([O-])c2nc3cc(OC(F)F)ccc3[nH]2)c1OC
119,Torasemide,Cc1cccc(Nc2ccncc2S(=O)(=O)NC(=O)NC(C)C)c1
120,Citalopram,CN(C)CCCC1(c2ccc(F)cc2)OCc2cc(C#N)ccc21
121,Eletriptan,CN1CCC[C@@H]1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12
122,Bethanidine,CN=C(NC)NCc1ccccc1
123,Moxifloxacin,COc1c(N2C[C@@H]3CCCN[C@@H]3C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
124,Oxyphenonium,CC[N+](C)(CC)CCOC(=O)C(O)(c1ccccc1)C1CCCCC1
125,Nelfinavir,Cc1c(O)cccc1C(=O)N[C@@H](CSc1ccccc1)[C@H](O)CN1C[C@H]2CCCC[C@H]2CC1C(=O)NC(C)(C)C
127,Glimepiride,CCC1=C(C)CN(C(=O)NCCc2ccc(S(=O)(=O)NC(=O)NC3CCC(C)CC3)cc2)C1=O
128,Diflorasone,C[C@H]1C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO
129,Indinavir,CC(C)(C)NC(=O)C1CN(Cc2cccnc2)CCN1C[C@@H](O)CC(Cc1ccccc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O
130,Gadodiamide,CNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NC)CC(=O)O)CC(=O)O
131,Guanadrel,N=C(N)NCC1COC2(CCCCC2)O1
132,Lovastatin,CCC(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]21
133,Enflurane,FC(F)OC(F)(F)C(F)Cl
135,Pregabalin,CC(C)C[C@H](CN)CC(=O)O
136,Temazepam,CN1C(=O)C(O)N=C(c2ccccc2)c2cc(Cl)ccc21
137,Methyclothiazide,CN1C(CCl)Nc2cc(Cl)c(S(N)(=O)=O)cc2S1(=O)=O
138,Aminosalicylic acid,NOc1ccccc1C(=O)O
139,Reboxetine,CCOc1ccccc1O[C@@H](c1ccccc1)[C@@H]1CNCCO1
140,Milrinone,Cc1[nH]c(=O)c(C#N)cc1-c1ccncc1
141,Pipobroman,O=C(CCBr)N1CCN(C(=O)CCBr)CC1
142,Butabarbital,CCC(C)C1(CC)C(=O)NC(=O)NC1=O
143,Nevirapine,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
144,Oxiconazole,Clc1ccc(CO/N=C(\Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1
145,Alclometasone,C[C@@H]1C[C@H]2[C@H]3[C@H]([C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO)[C@@]1(C)C=CC(=O)C=C1C[C@H]3Cl
146,Butalbital,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
147,Cladribine,Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
148,Ranolazine,COc1ccccc1OCC(O)CN1CCN(CC(=O)Nc2c(C)cccc2C)CC1
149,Mesalazine,Nc1ccc(O)c(C(=O)O)c1
150,Benzatropine,CN1[C@@H]2CC[C@@H]1CC(OC(c1ccccc1)c1ccccc1)C2
151,Ziprasidone,Oc1cc2cc(CCN3CCN(c4nsc5ccccc45)CC3)c(Cl)cc2[nH]1
153,Cabergoline,C=CCN1CC(C(=O)N(CCCN(C)C)C(=O)NCC)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
154,Idoxuridine,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I
155,Dapsone,Nc1ccc(S(=O)(=O)c2ccc(N)cc2)cc1
157,Phenytoin,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)N1
158,Medrysone,CC(=O)C1CC[C@H]2[C@@H]3CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3[C@@H](O)C[C@]12C
159,Doxycycline,CC1c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)[C@@H]3[C@@H](O)[C@@H]21
160,Diethylstilbestrol,CC=C(c1ccc(O)cc1)C(CC)c1ccc(O)cc1
161,Lymecycline,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4[C@@](C)(O)[C@H]3C[C@@H]12
162,Clotrimazole,Clc1ccccc1C(c1ccccc1)(c1ccccc1)n1ccnc1
163,Calcium acetate,CC(=O)O
164,Sulfanilamide,Nc1ccc(S(N)(=O)=O)cc1
165,Cycloserine,NC1CONC1=O
166,Anagrelide,Oc1cn2c(n1)Nc1ccc(Cl)c(Cl)c1C2
167,Carmustine,O=NN(CCCl)C(=O)NCCCl
168,Sulfisoxazole,Cc1noc(NS(=O)(=O)c2ccc(N)cc2)c1C
169,Metoprolol,COCCc1ccc(OCC(O)CNC(C)C)cc1
170,Crotamiton,C/C=C/C(=O)N(CC)c1ccccc1C
171,Dicoumarol,O=c1c(Cc2c(O)oc3ccccc3c2=O)c(O)oc2ccccc12
173,Ropinirole,CCCN(CCC)CCc1cccc2[nH]c(O)cc12
174,Chlorotrianisene,COc1ccc(C(Cl)=C(c2ccc(OC)cc2)c2ccc(OC)cc2)cc1
175,Isradipine,COC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc2nonc12
176,Diatrizoate,CC(=O)Nc1c(I)c(NC(C)=O)c(I)c(C(=O)O)c1I
177,Betazole,NCCc1cc[nH]n1
178,Topiramate,CC1(C)O[C@@H]2[C@@H](CO[C@@]3(COS(N)(=O)=O)OC(C)(C)O[C@@H]23)O1
179,Cefmetazole,CO[C@@]1(NC(=O)CSCC#N)C(=O)N2C(C(=O)O)=C(CSc3nnnn3C)CS[C@@H]21
180,Olmesartan,CCCc1nc(C(C)(C)O)c(C(=O)O)n1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1
182,Theophylline,Cn1c(=O)c2[nH]cnc2n(C)c1=O
183,Argatroban,CC1CNc2c(cccc2S(=O)(=O)NC(CCCN=C(N)N)C(=O)N2CC[C@@H](C)CC2C(=O)O)C1
184,Liothyronine,NC(Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O
185,Disopyramide,CC(C)N(CCC(C(N)=O)(c1ccccc1)c1ccccn1)C(C)C
186,Lidocaine,CCN(CC)CC(=O)Nc1c(C)cccc1C
187,Pamidronic acid,NCCC(O)(P(=O)(O)O)P(=O)(O)O
188,Clemastine,CN1CCC[C@@H]1CCO[C@](C)(c1ccccc1)c1ccc(Cl)cc1
190,Venlafaxine,COc1ccc(C(CN(C)C)C2(O)CCCCC2)cc1
191,Conjugated estrogens,C[C@]12CC[C@@H]3c4ccc(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O
192,Travoprost,CC(C)OC(=O)CCC/C=C\C[C@@H]1[C@@H](/C=C/[C@@H](O)COc2cccc(C(F)(F)F)c2)[C@H](O)C[C@@H]1O
193,Amcinonide,CC(=O)OCC(=O)[C@@]12OC3(CCCC3)O[C@@H]1C[C@H]1[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]12C
194,Atomoxetine,CNCC[C@@H](Oc1ccccc1C)c1ccccc1
196,Chlorambucil,O=C(O)CCCc1ccc(N(CCCl)CCCl)cc1
197,Etomidate,CCOC(=O)c1cncn1C(C)c1ccccc1
198,Raltitrexed,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)NC(CCC(=O)O)C(=O)O)s3)ccc2[nH]1
199,Etonogestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3C(=C)C[C@@]21CC
200,Morphine,CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@@H](O)C=C[C@H]3[C@H]1C5
201,Ropivacaine,CCCN1CCCCC1C(=O)Nc1c(C)cccc1C
202,Bupivacaine,CCCCN1CCCCC1C(=O)Nc1c(C)cccc1C
203,Dapiprazole,Cc1ccccc1N1C=CN(CCc2nnc3n2CCCC3)C=C1
204,Penciclovir,Nc1nc(=O)c2ncn(CCC(CO)CO)c2[nH]1
206,Flucloxacillin,Cc1onc(-c2c(F)cccc2Cl)c1C(=O)NC1C(=O)N2C(C(=O)O)C(C)(C)S[C@H]12
207,Tranexamic acid,NCC1CCC(C(=O)O)CC1
208,Ertapenem,C[C@@H](O)C1C(=O)N2C(C(=O)O)=C(S[C@@H]3CNC(C(=O)Nc4cccc(C(=O)O)c4)C3)[C@H](C)[C@H]12
209,Desogestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CCCC[C@@H]4[C@H]3C(=C)C[C@@]21CC
210,Mitomycin,C=c1c(N)c(O)c2c(c1O)N1C[C@@H]3N[C@@H]3[C@]1(OC)C=2COC(N)=O
211,Talbutal,C=CCC1(C(C)CC)C(=O)NC(=O)NC1=O
212,Bexarotene,C=C(c1ccc(C(=O)O)cc1)c1cc2c(cc1C)C(C)(C)CCC2(C)C
213,Ibutilide,CCCCCCCN(CC)CCCC(O)c1ccc(NS(C)(=O)=O)cc1
214,Vindesine,CC[C@]1(O)C[C@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(N)=O)[C@H](O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1
215,Chlorthalidone,NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl
216,Ethoxzolamide,CCOc1ccc2nc(S(N)(=O)=O)sc2c1
217,Pentobarbital,CCCC(C)C1(CC)C(=O)NC(=O)NC1=O
218,Valproic acid,CCCC(CCC)C(=O)O
220,Zolmitriptan,CN(C)CCc1c[nH]c2ccc(C[C@@H]3COC(=O)N3)cc12
221,Acetaminophen,CC(=O)Nc1ccc(O)cc1
222,Gefitinib,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1
223,Codeine,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
224,Piperacillin,CCN1CCN(C(=O)NC(C(=O)NC2C(=O)N3C(C(=O)O)C(C)(C)S[C@H]23)c2ccccc2)C(=O)C1=O
225,Dihydroergotamine,CN1CC(C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)C(Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21
227,Floxuridine,O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F
229,Fluorometholone,CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC(C)=C4CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@@]21C
231,Calcium glucoheptonate,O=C(O)C(O)C(O)C(O)C(O)C(O)CO
232,Hydromorphone,CN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@H]3[C@H]1C5
233,Indomethacin,COc1ccc2c(c1)c(CC(=O)O)c(C)n2C(=O)c1ccc(Cl)cc1
234,Ethambutol,CC[C@@H](CO)NCCN[C@@H](CC)CO
235,Metformin,CN(C)C(N)=NC(=N)N
236,Ipratropium,CC(C)[N+]1(C)[C@@H]2CC[C@H]1C[C@@H](OC(=O)C(CO)c1ccccc1)C2
237,Methadone,CCC(=O)C(CC(C)N(C)C)(c1ccccc1)c1ccccc1
238,Olanzapine,Cc1cc2c(s1)Nc1ccccc1N=C2N1CCN(C)CC1
239,Atenolol,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
240,Nitrofural,O=Cc1occc1[N+](=O)[O-]
242,Omeprazole,COc1ccc2[nH]c([S+]([O-])Cc3ncc(C)c(OC)c3C)nc2c1
243,Pyrazinamide,NC(=O)c1cnccn1
244,Metixene,CN1CCCC(CC2c3ccccc3Sc3ccccc32)C1
245,Cetirizine,O=C(O)COCCN1CCN(C(c2ccccc2)c2ccc(Cl)cc2)CC1
246,Terfenadine,CC(C)(C)c1ccc(C(O)CCCN2CCC(C(O)(c3ccccc3)c3ccccc3)CC2)cc1
247,Diltiazem,COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)C2OC(C)=O)cc1
248,Protriptyline,CNCCCC1c2ccccc2C=Cc2ccccc21
249,Aminohippuric acid,NC(NC(=O)c1ccccc1)C(=O)O
250,Alfuzosin,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC
251,Trimethadione,CN1C(=O)OC(C)(C)C1=O
252,Nitisinone,O=C1CCCC(=O)C1C(=O)c1ccc(C(F)(F)F)cc1[N+](=O)[O-]
253,Clobazam,CN1C(=O)CC(=O)N(c2ccccc2)c2cc(Cl)ccc21
254,Minoxidil,N=c1cc(N2CCCCC2)nc(N)n1O
255,Megestrol acetate,CC(=O)O[C@]1(C(C)=O)CC[C@H]2C3=CC(C)=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C
256,Tioguanine,Nc1nc(=S)c2[nH]cnc2[nH]1
257,Methylergometrine,CC[C@@H](CO)NC(=O)C1C=C2c3cccc4[nH]cc(c34)C[C@H]2N(C)C1
258,Buclizine,CC(C)(C)c1ccc(CN2CCN(C(c3ccccc3)c3ccc(Cl)cc3)CC2)cc1
259,Aztreonam,C[C@H]1C(=NC(=O)C(NOC(C)(C)C(=O)O)c2csc(N)n2)C(=O)N1S(=O)(=O)O
260,Chlorzoxazone,O=c1[nH]c2cc(Cl)ccc2o1
261,Aminoglutethimide,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
262,Mefloquine,OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1
263,Sulfadiazine,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1
264,Sapropterin,C[C@H](O)[C@H](O)[C@H]1CNc2[nH]c(N)nc(=O)c2N1
267,Clozapine,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
269,Grepafloxacin,Cc1c(F)c(N2CCNC(C)C2)cc2c1c(=O)c(C(=O)O)cn2C1CC1
270,Doxylamine,CN(C)CCOC(C)(c1ccccc1)c1ccccn1
271,Levonorgestrel,C#C[C@]1(O)CC[C@H]2[C@@H]3CC=C4CC(=O)CCC4[C@H]3CC[C@@]21CC
273,Cidofovir,Nc1ccn(C[C@@H](CO)OCP(=O)(O)O)c(=O)n1
274,Mirtazapine,CN1CCN2c3ncccc3Cc3ccccc3C2C1
275,Meprobamate,CCCC(C)(COC(N)=O)COC(N)=O
276,Thiethylperazine,CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2
277,Timolol,CC(C)(C)NC[C@H](O)COc1nsnc1N1CCOCC1
278,Treprostinil,CCCCC[C@@H](O)CC[C@H]1[C@@H]2Cc3cccc(OCC(=O)O)c3C[C@@H]2C[C@@H]1O
279,Colestipol,NCCNCCNCCNCCN
280,Trihexyphenidyl,OC(CCN1CCCCC1)(c1ccccc1)C1CCCCC1
281,Palonosetron,O=C1c2cccc3c2[C@@H](CCC3)CN1[C@@H]1CN2CCC1CC2
282,Dydrogesterone,CC(=O)C1CC[C@H]2C3=CC=C4CC(=O)CC[C@@]4(C)[C@@H]3CC[C@]12C
283,Mexiletine,Cc1cccc(C)c1OCC(C)N
284,Dexrazoxane,C[C@@H](CN1CC(=O)NC(=O)C1)N1CC(=O)NC(=O)C1
285,Amlodipine,CCOC(=O)C1=C(COCCN)N=C(C)C(C(=O)OC)C1c1ccccc1Cl
286,Tacrine,Nc1c2c(nc3ccccc13)CCCC2
287,Oxyphencyclimine,CN1CCCN=C1COC(=O)C(O)(c1ccccc1)C1CCCCC1
288,Triamterene,Nc1nc(N)c2nc(-c3ccccc3)c(N)nc2n1
290,Procyclidine,OC(CCN1CCCC1)(c1ccccc1)C1CCCCC1
291,Phenylephrine,CNC[C@H](O)c1cccc(O)c1
292,Carbimazole,CCOC(=O)n1ccn(C)c1=S
294,Sulpiride,CCN1CCCC1CNC(=O)c1cc(S(N)(=O)=O)ccc1OC
295,Profenamine,CCN(CC)C(C)CN1c2ccccc2Sc2ccccc21
296,Nimodipine,COCCOC(=O)C1=C(C)N=C(C)C(C(=O)OC(C)C)C1c1cccc([N+](=O)[O-])c1
297,Beclomethasone dipropionate,CCC(=O)OCC(=O)[C@@]1(OC(=O)CC)[C@@H](C)C[C@H]2[C@@H]3CC=C4CC(=O)C=C[C@]4(C)[C@@]3(Cl)[C@@H](O)C[C@@]21C
298,Carisoprodol,CCCC(C)(COC(N)=O)COC(=O)NC(C)C
299,Progesterone,CC(=O)C1CC[C@H]2[C@@H]3CC=C4CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C
300,Phenylpropanolamine,C[C@@H](N)[C@@H](O)c1ccccc1
301,Sorafenib,CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3ccc(Cl)c(C(F)(F)F)c3)cc2)ccn1
302,Zoledronic acid,O=P(O)(O)C(O)(Cn1ccnc1)P(=O)(O)O
303,Griseofulvin,COc1cc(OC)c2c(c1Cl)O[C@]1(C2=O)C(OC)CC(=O)C[C@H]1C
304,Nisoldipine,COC(=O)C1=C(C)N=C(C)C(C(=O)OCC(C)C)C1c1ccccc1[N+](=O)[O-]
305,Eszopiclone,CN1CCN(C(=O)O[C@H]2c3nccnc3C(=O)N2c2ccc(Cl)cn2)CC1
307,Alprazolam,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2
308,Dexbrompheniramine,CN(C)CCC(c1ccc(Br)cc1)c1ccccn1
311,Loxapine,CN1CCN(C2=Nc3ccccc3Oc3ccc(Cl)cc32)CC1
312,Remoxipride,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
313,Mupirocin,C/C(=C\C(=O)OCCCCCCCCC(=O)O)C[C@@H]1OC[C@H](C[C@@H]2O[C@H]2[C@@H](C)[C@H](C)O)[C@@H](O)[C@H]1O
314,Carbamoylcholine,C[N+](C)(C)CCOC(N)=O
315,Rosiglitazone,CN(CCOc1ccc(Cc2sc(=O)[nH]c2O)cc1)c1ccccn1
316,Pramipexole,CCCN[C@@H]1CCc2nc(N)sc2C1
317,Acetohexamide,CC(=O)c1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
318,Ampicillin,CC1(C)S[C@@H]2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O
320,Phenoxymethylpenicillin,CC1(C)S[C@@H]2C(NC(=O)COc3ccccc3)C(=O)N2C1C(=O)O
321,Secobarbital,C=CCC1(C(C)CCC)C(=O)NC(=O)NC1=O
322,Miglustat,CCCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO
323,Promazine,CN(C)CCCN1c2ccccc2Sc2ccccc21
324,Spironolactone,CC(=O)S[C@@H]1C=C2CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@@]34CCC(=O)O4)[C@H]12
325,Methylphenidate,COC(=O)C(c1ccccc1)C1CCCCN1
326,Methocarbamol,COc1ccccc1OCC(O)COC(N)=O
327,Hyoscyamine,CN1C2CCC1CC(OC(=O)C(CO)c1ccccc1)C2
328,Zolpidem,Cc1ccc(-c2nc3ccc(C)cn3c2CC(=O)N(C)C)cc1
329,Famciclovir,CC(=O)OCC(CCn1cnc2cnc(N)nc21)COC(C)=O
330,Triprolidine,Cc1ccc(/C(=C\CN2CCCC2)c2ccccn2)cc1
331,Streptozocin,CN(N=O)C(=O)N[C@@H]1[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]1O
332,Carboprost tromethamine,CCCCC[C@](C)(O)/C=C\C1[C@@H](O)C[C@@H](O)[C@H]1C/C=C/CCCC(=O)O
334,Lindane,ClC1C(Cl)C(Cl)C(Cl)C(Cl)C1Cl
335,Trifluridine,O=c1[nH]c(=O)n(C2CC(O)C(CO)O2)cc1C(F)(F)F
336,Prochlorperazine,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
