,Name,StandardSmiles,Molecules,tanimoto_avalon
518,Demeclocycline,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)ccc(Cl)c4[C@@H](O)[C@H]3C[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x7f615f8167b0>,0.3744075829383886
528,Clorazepic acid,O=C(O)C1N=C(c2ccccc2)c2cc(Cl)ccc2NC1=O,<rdkit.Chem.rdchem.Mol object at 0x7f615f816ba0>,0.32802547770700635
573,Galantamine,COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,<rdkit.Chem.rdchem.Mol object at 0x7f615f81dd60>,0.342042755344418
587,Mycophenolate mofetil,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)OCCN1CCOCC1)C(=O)OC2,<rdkit.Chem.rdchem.Mol object at 0x7f615f81c270>,0.35294117647058826
590,Moexipril,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2cc(OC)c(OC)cc2CC1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f615f81c3c0>,0.48175182481751827
603,Naltrexone,O=C1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)C1O5,<rdkit.Chem.rdchem.Mol object at 0x7f615f81c820>,0.3624733475479744
614,Paroxetine,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f615f81cc10>,0.3345323741007194
615,Nedocromil,CCCc1c2oc(C(=O)O)cc(=O)c2cc2c(=O)cc(C(=O)O)n(CC)c12,<rdkit.Chem.rdchem.Mol object at 0x7f615f81cc80>,0.32791327913279134
621,Lisinopril,NCCCCC(NC(CCc1ccccc1)C(=O)O)C(=O)N1CCCC1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f615f81ceb0>,0.3510204081632653
624,Homatropine methylbromide,C[N+]1(C)C2CCC1CC(OC(=O)C(O)c1ccccc1)C2,<rdkit.Chem.rdchem.Mol object at 0x7f615f81b040>,0.3709090909090909
627,Rocuronium,C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2OC(C)=O)CCCC1,<rdkit.Chem.rdchem.Mol object at 0x7f615f81b190>,0.33589743589743587
645,Scopolamine,CN1[C@@H]2CC(OC(=O)C(CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x7f615f81b820>,0.3445121951219512
656,Clopidogrel,COC(=O)C(c1ccccc1Cl)N1CCc2sccc2C1,<rdkit.Chem.rdchem.Mol object at 0x7f615f81bcf0>,0.32225063938618925
657,Tetracycline,CN(C)C1C(=O)C(C(N)=O)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x7f615f81bd60>,0.3597122302158273
660,Irinotecan,CCc1c2c(nc3ccc(OC(=O)N4CCC(N5CCCCC5)CC4)cc13)-c1cc3c(c(=O)n1C2)COC(=O)[C@]3(O)CC,<rdkit.Chem.rdchem.Mol object at 0x7f615f81beb0>,0.3220338983050847
665,Benzquinamide,CCN(CC)C(=O)C1CN2CCc3cc(OC)c(OC)cc3C2CC1OC(C)=O,<rdkit.Chem.rdchem.Mol object at 0x7f615f81a120>,0.4358974358974359
680,Estradiol,C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,<rdkit.Chem.rdchem.Mol object at 0x7f615f81a6d0>,0.32786885245901637
686,Perindopril,CCCC(NC(C)C(=O)N1C(C(=O)O)C[C@@H]2CCCC[C@@H]21)C(=O)OCC,<rdkit.Chem.rdchem.Mol object at 0x7f615f81a970>,0.3717105263157895
713,Rosoxacin,CCn1cc(C(=O)O)c(=O)c2ccc(-c3ccncc3)cc21,<rdkit.Chem.rdchem.Mol object at 0x7f615f819350>,0.3303303303303303
716,Tadalafil,CN1CC(=O)N2C(Cc3c([nH]c4ccccc34)[C@H]2c2ccc3c(c2)OCO3)C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f615f8194a0>,0.3259109311740891
738,Donepezil,COc1cc2c(cc1OC)C(=O)C(CC1CCN(Cc3ccccc3)CC1)C2,<rdkit.Chem.rdchem.Mol object at 0x7f615f819d60>,0.37333333333333335
739,Nalbuphine,Oc1ccc2c3c1O[C@H]1[C@@H](O)CC[C@@]4(O)[C@@H](C2)N(CC2CCC2)CC[C@]314,<rdkit.Chem.rdchem.Mol object at 0x7f615f819dd0>,0.3557483731019523
776,Quinapril,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1Cc2ccccc2CC1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f615f818ba0>,0.4349442379182156
781,Omapatrilat,O=C(NC1CCS[C@H]2CCCC(C(=O)O)N2C1=O)C(S)Cc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f615f818dd0>,0.3670886075949367
798,Ondansetron,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f615f817580>,0.32421052631578945
801,Cocaine,COC(=O)C1C2CCC(C[C@@H]1OC(=O)c1ccccc1)N2C,<rdkit.Chem.rdchem.Mol object at 0x7f615f8176d0>,0.3745819397993311
802,Quinidine,C=C[C@H]1CN2CC[C@H]1C[C@@H]2[C@@H](O)c1ccnc2ccc(OC)cc12,<rdkit.Chem.rdchem.Mol object at 0x7f615f817740>,0.38311688311688313
806,Repaglinide,CCOc1cc(CC(=O)N[C@@H](CC(C)C)c2ccccc2N2CCCCC2)ccc1C(=O)O,<rdkit.Chem.rdchem.Mol object at 0x7f615f817900>,0.3357664233576642
815,Buprenorphine,CO[C@]12CC[C@@]3(C[C@@H]1[C@](C)(O)C(C)(C)C)[C@H]1Cc4ccc(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,<rdkit.Chem.rdchem.Mol object at 0x7f615f817c80>,0.346723044397463
824,Metacycline,C=C1c2cccc(O)c2C(=O)C2C(=O)[C@]3(O)C(=O)C(C(N)=O)C(=O)C(N(C)C)[C@@H]3[C@@H](O)[C@H]12,<rdkit.Chem.rdchem.Mol object at 0x7f615f817f90>,0.35784313725490197
849,Hydrocodone,COc1ccc2c3c1OC1C(=O)CC[C@H]4[C@@H](C2)N(C)CC[C@]314,<rdkit.Chem.rdchem.Mol object at 0x7f615f8157b0>,0.3732394366197183
865,Ezetimibe,O=C1C(CC[C@H](O)c2ccc(F)cc2)[C@@H](c2ccc(O)cc2)N1c1ccc(F)cc1,<rdkit.Chem.rdchem.Mol object at 0x7f615f815c80>,0.40069686411149824
869,Ethinylestradiol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@@]21C,<rdkit.Chem.rdchem.Mol object at 0x7f615f815d60>,0.3291139240506329
870,Lomefloxacin,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCNC(C)C3)c(F)c21,<rdkit.Chem.rdchem.Mol object at 0x7f615f815dd0>,0.3209549071618037
878,Glycopyrronium,C[N+]1(C)CCC(OC(=O)C(O)(c2ccccc2)C2CCCC2)C1,<rdkit.Chem.rdchem.Mol object at 0x7f615f814190>,0.34448160535117056
909,Minocycline,CN(C)c1ccc(O)c2c1C[C@H]1C[C@H]3C(N(C)C)C(=O)C(C(N)=O)C(=O)[C@@]3(O)C(=O)C1C2=O,<rdkit.Chem.rdchem.Mol object at 0x7f615f814d60>,0.357487922705314
916,Mycophenolic acid,COc1c(C)c2c(c(O)c1C/C=C(\C)CCC(=O)O)C(=O)OC2,<rdkit.Chem.rdchem.Mol object at 0x7f615f8130b0>,0.3298245614035088
931,Thalidomide,O=C1CCC(N2C(=O)c3ccccc3C2=O)C(=O)N1,<rdkit.Chem.rdchem.Mol object at 0x7f615f813660>,0.35106382978723405
934,Gatifloxacin,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12,<rdkit.Chem.rdchem.Mol object at 0x7f615f8137b0>,0.34
947,Praziquantel,O=C(C1CCCCC1)N1CC(=O)N2CCc3ccccc3C2C1,<rdkit.Chem.rdchem.Mol object at 0x7f615f813c80>,0.3771626297577855
974,Pilocarpine,CCC1C(=O)OC[C@@H]1Cc1cncn1C,<rdkit.Chem.rdchem.Mol object at 0x7f615f812660>,0.3227665706051873
978,Deserpidine,COC(=O)C1[C@H]2C[C@@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2C[C@@H](OC(=O)c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,<rdkit.Chem.rdchem.Mol object at 0x7f615f812820>,0.3430232558139535
983,Hesperetin,COc1ccc([C@@H]2CC(=O)c3c(O)cc(O)cc3O2)cc1O,<rdkit.Chem.rdchem.Mol object at 0x7f615f8129e0>,0.35877862595419846
1025,Carvedilol,COc1ccccc1OCCNCC(O)COc1cccc2[nH]c3ccccc3c12,<rdkit.Chem.rdchem.Mol object at 0x7f615f811820>,0.35313531353135313
1026,Levofloxacin,C[C@H]1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x7f615f811890>,0.3443396226415094
1037,Flavoxate,Cc1c(-c2ccccc2)oc2c(C(=O)OCCN3CCCCC3)cccc2c1=O,<rdkit.Chem.rdchem.Mol object at 0x7f615f811cf0>,0.35294117647058826
1051,Terazosin,COc1cc2nc(N3CCN(C(=O)C4CCCO4)CC3)nc(N)c2cc1OC,<rdkit.Chem.rdchem.Mol object at 0x7f615f8102e0>,0.38562091503267976
1054,Ofloxacin,CC1COc2c(N3CCN(C)CC3)c(F)cc3c(=O)c(C(=O)O)cn1c23,<rdkit.Chem.rdchem.Mol object at 0x7f615f810430>,0.3443396226415094
1068,Podofilox,COc1cc([C@@H]2c3cc4c(cc3[C@H](O)[C@H]3COC(=O)C23)OCO4)cc(OC)c1OC,<rdkit.Chem.rdchem.Mol object at 0x7f615f810900>,0.3872832369942196
1069,Rescinnamine,COC(=O)C1[C@H]2C[C@@H]3c4[nH]c5cc(OC)ccc5c4CCN3C[C@H]2C[C@@H](OC(=O)/C=C/c2cc(OC)c(OC)c(OC)c2)[C@@H]1OC,<rdkit.Chem.rdchem.Mol object at 0x7f615f810970>,0.33524904214559387
1072,Naloxone,C=CCN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@@]3(O)[C@H]1C5,<rdkit.Chem.rdchem.Mol object at 0x7f615f810ac0>,0.3655913978494624
1079,Clindamycin,CCC[C@@H]1CC(C(=O)NC(C(C)Cl)[C@H]2O[C@H](SC)[C@H](O)[C@@H](O)[C@H]2O)N(C)C1,<rdkit.Chem.rdchem.Mol object at 0x7f615f810dd0>,0.3890675241157556
1081,Oxymorphone,CN1CC[C@]23c4c5ccc(O)c4OC2C(=O)CC[C@@]3(O)[C@H]1C5,<rdkit.Chem.rdchem.Mol object at 0x7f615f810eb0>,0.3655913978494624
1085,Estramustine,C[C@]12CC[C@@H]3c4ccc(OC(=O)N(CCCl)CCCl)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,<rdkit.Chem.rdchem.Mol object at 0x7f615f80f0b0>,0.3495440729483283
1121,Saquinavir,CC(C)(C)NC(=O)C1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C(CC(N)=O)NC(=O)c1ccc2ccccc2n1,<rdkit.Chem.rdchem.Mol object at 0x7f615f80fc80>,0.36363636363636365
1127,Aripiprazole,O=C1CCc2ccc(OCCCCN3CCN(c4cccc(Cl)c4Cl)CC3)cc2N1,<rdkit.Chem.rdchem.Mol object at 0x7f615f80feb0>,0.3832752613240418
1140,Gliquidone,COc1ccc2c(c1)C(=O)N(CCc1ccc(S(=O)(=O)NC(=O)NC3CCCCC3)cc1)C(=O)C2(C)C,<rdkit.Chem.rdchem.Mol object at 0x7f615f698d60>,0.34300791556728233
1141,Mitiglinide,O=C(O)C(CC(=O)N1CC2CCCCC2C1)Cc1ccccc1,<rdkit.Chem.rdchem.Mol object at 0x7f615f698cf0>,0.32452830188679244
1172,Rolitetracycline,CN(C)C1C(=O)C(C(=O)NCN2CCCC2)C(=O)[C@@]2(O)C(=O)C3C(=O)c4c(O)cccc4[C@@](C)(O)[C@H]3C[C@@H]12,<rdkit.Chem.rdchem.Mol object at 0x7f615f698200>,0.39667458432304037
1193,Cilazapril,CCOC(=O)C(CCc1ccccc1)NC1CCCN2CCCC(C(=O)O)N2C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f615f6973c0>,0.3597122302158273
1196,Quinidine barbiturate,C=CC1CN2CCC1CC2C(O)c1ccnc2ccc(OC)cc12,<rdkit.Chem.rdchem.Mol object at 0x7f615f697510>,0.38311688311688313
1198,Spirapril,CCOC(=O)C(CCc1ccccc1)NC(C)C(=O)N1CC2(CC1C(=O)O)SCCS2,<rdkit.Chem.rdchem.Mol object at 0x7f615f697580>,0.3470031545741325
1206,Mestranol,C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,<rdkit.Chem.rdchem.Mol object at 0x7f615f697900>,0.3248407643312102
1211,Procaterol,CCC(NC(C)C)C(O)c1ccc(O)c2[nH]c(=O)ccc12,<rdkit.Chem.rdchem.Mol object at 0x7f615f697ac0>,0.3304093567251462
1224,Yohimbine,COC(=O)C1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,<rdkit.Chem.rdchem.Mol object at 0x7f615f692040>,0.3320079522862823
1234,Temafloxacin,CC1CN(c2cc3c(cc2F)c(=O)c(C(=O)O)cn3-c2ccc(F)cc2F)CCN1,<rdkit.Chem.rdchem.Mol object at 0x7f615f692430>,0.34417344173441733
1254,Ajmaline,CCC1C2CC3C4N(C)c5ccccc5C45CC(C2C5O)N3C1O,<rdkit.Chem.rdchem.Mol object at 0x7f615f692c10>,0.32751091703056767
1275,Dihydroetorphine,CCC[C@@](C)(O)[C@H]1C[C@@]23CC[C@]1(OC)[C@@H]1Oc4c(O)ccc5c4[C@@]12CCN(C)[C@@H]3C5,<rdkit.Chem.rdchem.Mol object at 0x7f615f695ac0>,0.35560344827586204
1277,Diamorphine,CC(=O)Oc1ccc2c3c1O[C@H]1[C@@H](OC(C)=O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,<rdkit.Chem.rdchem.Mol object at 0x7f615f6959e0>,0.3485838779956427
1290,Ethylmorphine,CCOc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341,<rdkit.Chem.rdchem.Mol object at 0x7f615f695430>,0.35604395604395606
1293,Acetorphine,CCC[C@@](C)(O)[C@H]1CC23C=CC1(OC)[C@H]1Oc4c(OC(C)=O)ccc5c4C12CCN(C)C3C5,<rdkit.Chem.rdchem.Mol object at 0x7f615f6952e0>,0.3393574297188755
1301,Codeine methylbromide,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)[N+](C)(C)CC[C@@]341,<rdkit.Chem.rdchem.Mol object at 0x7f615f6940b0>,0.3511777301927195
1304,Cyprenorphine,COC12C=CC3(CC1C(C)(C)O)[C@@H]1Cc4ccc(O)c5c4[C@]3(CCN1CC1CC1)[C@@H]2O5,<rdkit.Chem.rdchem.Mol object at 0x7f615f694200>,0.3300395256916996
1313,Camazepam,CN(C)C(=O)OC1N=C(c2ccccc2)c2cc(Cl)ccc2N(C)C1=O,<rdkit.Chem.rdchem.Mol object at 0x7f615f694580>,0.3294460641399417
1320,Etorphine,CCCC(C)(O)C1CC23C=CC1(OC)C1Oc4c(O)ccc5c4C12CCN(C)C3C5,<rdkit.Chem.rdchem.Mol object at 0x7f615f694890>,0.3366733466933868
